15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-24 15:31:06.269468
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/02', 'Smart student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/02, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/01, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/02', 'Beautiful student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/02, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/01, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/02', 'Beautiful student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/02, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/01, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/no_import', 'The teacher:first/solution_size', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/01', 'The teacher:first/deadline'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/no_import, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valid
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/solution_size, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.v
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/02, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/attendance, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.vali
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/01, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/deadline, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valida
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/02', 'The teacher:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/02, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/01, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/02', 'Smart student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2023-07-18 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/02', 'Smart student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2023-08-24 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/no_import', 'The teacher:first/solution_size', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/01', 'The teacher:first/deadline'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2023-07-12 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/02', 'The teacher:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2023-08-12 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/02', 'Beautiful student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2024-12-24 15:30:53.
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/02', 'Beautiful student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2023-08-30 00:00:0
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/02', 'Smart student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2023-07-18 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/02', 'Smart student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f./home/x_good/repo/crosstest/sample/repo/student/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2023-08-24 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/02', 'Beautiful student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f./home/x_good/repo/crosstest/sample/repo/studentka/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2024-12-24 15:30:53.
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/02', 'Beautiful student:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f./home/x_good/repo/crosstest/sample/repo/studentka/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2023-08-30 00:00:0
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/no_import', 'The teacher:first/solution_size', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/01', 'The teacher:first/deadline'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f./home/x_good/repo/crosstest/sample/repo/teacher/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2023-07-12 00:00:00
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/02', 'The teacher:second/01'] checks from f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f./home/x_good/repo/crosstest/sample/repo/teacher/second homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2023-08-12 00:00:00
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2024-12-24 15:31:06.496032
15:31:06 24.12.2024 [                     make]: |   INFO|: Run new checks on all solutions...
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_first.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_first.py / /tmp/hworker_check/Beautiful student_first.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/02@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_first.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_first.py / /tmp/hworker_check/Beautiful student_first.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/01@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_second.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_second.py / /tmp/hworker_check/Beautiful student_second.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_second.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_second.py / /tmp/hworker_check/Beautiful student_second.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student,
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful stude
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_first.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_first.py / /tmp/hworker_check/Smart student_first.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/02@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_first.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_first.py / /tmp/hworker_check/Smart student_first.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/01@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=Ch
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=C
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Smart student:first, TASK_ID=first, USER_ID=Smart student, catego
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_second.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_second.py / /tmp/hworker_check/Smart student_second.in
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/02@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Smart student_second.py run
15:31:06 24.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
15:31:07 24.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Smart student_second.py / /tmp/hworker_check/Smart student_second.in
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/01@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:second, TASK_ID=second, USER_ID=Smart student, categor
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
15:31:07 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
